level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
creator,@FarronBalanced,streams,F12_controlled,8,0.095,0.8225,-0.1114,-0.2149
creator,@FarronBalanced,streams,curiosity_gap,8,,,0.0,0.0
creator,@FarronBalanced,streams,outrage,8,-0.06,0.8873,0.9565,0.9474
creator,@FarronBalanced,streams,humor,8,,,0.0,0.0
creator,@FarronBalanced,videos,F1_controlled,9,-0.2,0.6059,0.0147,0.062
creator,@FarronBalanced,videos,F2_controlled,9,0.4,0.2861,0.1128,0.0006
creator,@FarronBalanced,videos,F3_controlled,9,-0.183,0.6368,-0.6511,-0.6758
creator,@FarronBalanced,videos,F4_controlled,9,-0.633,0.0671,-0.2395,-0.3171
creator,@FarronBalanced,videos,F5_controlled,9,-0.483,0.1875,-0.3866,-0.4172
creator,@FarronBalanced,videos,F6_controlled,9,0.35,0.3558,-0.2262,-0.2502
creator,@FarronBalanced,videos,F7_controlled,9,0.633,0.0671,-0.4082,-0.3846
creator,@FarronBalanced,videos,F8_controlled,9,0.4,0.2861,-0.3746,-0.5519
creator,@FarronBalanced,videos,F9_controlled,9,-0.467,0.2054,-0.689,-0.7551
creator,@FarronBalanced,videos,F10_controlled,9,-0.15,0.7001,-0.4192,-0.397
creator,@FarronBalanced,videos,F11_controlled,9,0.3,0.4328,-0.9169,-0.476
creator,@FarronBalanced,videos,F12_controlled,9,0.417,0.2646,-0.2565,0.027
creator,@FarronBalanced,videos,curiosity_gap,9,-0.059,0.881,0.0048,0.0049
creator,@FarronBalanced,videos,outrage,9,0.1,0.798,0.8798,0.8775
creator,@FarronBalanced,videos,humor,9,0.137,0.7254,0.0,0.0
creator,@Firstpost,streams,F1_controlled,9,-0.417,0.2646,-0.2432,-1.3247
creator,@Firstpost,streams,F2_controlled,9,0.75,0.0199,-0.8997,-0.614
creator,@Firstpost,streams,F3_controlled,9,-0.633,0.0671,2.0206,0.8464
creator,@Firstpost,streams,F4_controlled,9,-0.533,0.1392,-0.0499,-0.0937
creator,@Firstpost,streams,F5_controlled,9,0.183,0.6368,-0.4032,-0.3306
