term,n_titles,n_channels,is_phrase,phrase_words
nepal,792,30,False,
newsom,792,132,False,
gen,790,97,False,
balance,787,30,False,
ends,787,117,False,
kill,787,116,False,
midterm,787,97,False,
ready,787,116,False,
tells,787,124,False,
platner,785,110,False,
reality,785,137,False,
cnn,784,110,False,
let talk,784,13,True,let|talk
elon musk,783,114,True,elon|musk
launch,783,69,False,
cam,782,35,False,
johnson,780,94,False,
explosive,779,76,False,
footage,779,95,False,
we're,777,125,False,
candace,774,93,False,
campaign,772,113,False,
surge,771,77,False,
meltdown,768,111,False,
scotus,767,94,False,
germany,764,67,False,
probe,764,58,False,
patel,763,101,False,
agent,759,112,False,
daily,759,76,False,
terror,759,101,False,
freedom,757,93,False,
arrives,756,45,False,
reporter,756,94,False,
building,754,89,False,
service,753,79,False,
sends,751,89,False,
pope,750,95,False,
violence,748,112,False,
mexico,747,93,False,
admin,746,79,False,
ceremony,746,45,False,
attorney,743,82,False,
ruling,743,95,False,
today,743,108,False,
game,741,136,False,
kelly,737,89,False,
shapiro,737,96,False,
justice,735,100,False,
fired,733,135,False,
ground,733,107,False,
smith,733,111,False,
backlash,731,101,False,
run,728,124,False,
leaves,726,95,False,
sea,726,50,False,
woke,723,114,False,
free,722,151,False,
pay,722,110,False,
cia,721,114,False,
members,721,83,False,
administration,720,84,False,
collapses,720,82,False,
kills,720,84,False,
dangerous,718,126,False,
evidence,716,122,False,
explained,716,102,False,
tariff,712,79,False,
hasanabi,710,11,False,
jack,710,85,False,
policy,707,104,False,
begins,703,86,False,
budget,702,66,False,
pete hegseth,702,92,True,pete|hegseth
bases,700,63,False,
hezbollah,700,44,False,
michigan,700,90,False,
fund,698,90,False,
tax,697,117,False,
todd,696,72,False,
defends,695,101,False,
point,691,140,False,
look,690,101,False,
stocks,690,27,False,
bombs,687,88,False,
orders,687,81,False,
think,687,155,False,
release,686,91,False,
destroys,685,123,False,
kristi,684,108,False,
plane,684,80,False,
hosts,683,63,False,
moscow,683,42,False,
declares,681,90,False,
fuel,680,51,False,
jr,680,110,False,
parliament,680,30,False,
rights,680,119,False,
lawsuit,679,98,False,
exclusive,678,83,False,
close,677,81,False,
destroyed,677,135,False,
pam,677,115,False,
continue,676,61,False,
crackdown,676,70,False,
hell,676,104,False,
crashes,675,103,False,
kristi noem,675,106,True,kristi|noem
voting,675,111,False,
candidate,672,112,False,
happened,672,148,False,
north,672,71,False,
total,671,118,False,
impact,670,52,False,
prime minister,670,58,True,prime|minister
reveal,669,101,False,
davos,668,83,False,
pam bondi,668,113,True,pam|bondi
great,666,105,False,
walz,666,83,False,
row,665,35,False,
marco,664,88,False,
crime,661,117,False,
group,661,82,False,
shares,661,62,False,
ukrainian,660,44,False,
trying,659,144,False,
charges,658,88,False,
outside,656,61,False,
markets,655,69,False,
accused,654,79,False,
agenda,654,77,False,
dc,654,90,False,
losing,654,151,False,
moon,652,64,False,
wife,652,99,False,
kids,651,129,False,
clinton,650,96,False,
target,650,99,False,
responds,649,101,False,
brics,648,21,False,
ally,646,70,False,
ag,645,69,False,
alert,645,56,False,
fake,645,150,False,
worst,645,137,False,
ben,644,130,False,
marco rubio,644,85,True,marco|rubio
hours,643,79,False,
problem,642,157,False,
earthquake,640,49,False,
ban,639,101,False,
second,639,84,False,
fears,638,75,False,
leak,638,83,False,
sanctions,638,69,False,
todd blanche,638,69,True,todd|blanche
korea,637,59,False,
david,634,110,False,
use,634,96,False,
voter,634,96,False,
leave,633,97,False,
aoc,632,130,False,
kash,631,98,False,
students,629,73,False,
island,628,88,False,
zohran,628,106,False,
criminal,627,105,False,
don,626,127,False,
job,626,103,False,
concerns,625,51,False,
opening,625,61,False,
katie,623,59,False,
line,623,96,False,
actually,622,159,False,
nick,619,133,False,
guilty,617,89,False,
pushes,617,75,False,
weapons,617,72,False,
director,616,87,False,
pool,616,106,False,
social media,615,99,True,social|media
crew,614,53,False,
omar,612,95,False,
student,612,86,False,
invasion,611,118,False,
nightmare,611,106,False,
said,611,122,False,
rising,610,76,False,
carney,609,44,False,
ships,609,46,False,
negotiations,607,68,False,
inflation,604,70,False,
gold,603,84,False,
room,603,82,False,
robinson,602,88,False,
scheme,601,86,False,
taiwan,600,48,False,
owens,599,84,False,
unleashes,599,54,False,
blow,595,85,False,
jet,593,72,False,
risk,593,67,False,
winter,593,46,False,
cuomo,592,23,False,
karoline,592,65,False,
space,589,65,False,
work,588,115,False,
bessent,586,59,False,
assassination,585,105,False,
humiliated,585,88,False,
minutes,585,79,False,
released,584,95,False,
bid,583,46,False,
kash patel,583,92,True,kash|patel
polls,583,76,False,
spacex,583,47,False,
bank,582,80,False,
beijing,581,37,False,
making,581,145,False,
apart,580,115,False,
citizenship,580,105,False,
keir,579,59,False,
falls,578,89,False,
anthony,577,106,False,
escalates,577,74,False,
food,577,99,False,
millions,577,100,False,
react,576,73,False,
prison,574,117,False,
speak,574,80,False,
jobs,573,80,False,
officer,573,77,False,
joins,572,83,False,
tv,572,109,False,
mother,571,73,False,
furious,570,91,False,
burnham,569,31,False,
racist,569,115,False,
la,567,96,False,
allegations,566,98,False,
candace owens,566,78,True,candace|owens
outbreak,566,55,False,
