word,balanced_share_of_titles,creators_using,raw_pooled_share_of_titles,raw_titles,rank_balanced,rank_raw
mark,0.005521613867696106,111,0.0040943557265316725,993,111,268
hormuz,0.005496210683530936,111,0.016657801747419897,4040,112,16
tim,0.005492492784807584,122,0.0034717497701305822,842,113,353
major,0.005449984358935781,116,0.008761838790412693,2125,114,61
california,0.00543932770983471,130,0.005026203052006152,1219,115,182
win,0.005416493456532463,155,0.005525112460777887,1340,116,162
death,0.005393826256771151,162,0.00724449447282593,1757,117,89
jd,0.005384741941724799,127,0.0049808476512087215,1208,118,185
woman,0.005371989941119565,119,0.004461322151165428,1082,119,232
story,0.005338163651866668,148,0.005805491302071092,1408,120,141
warning,0.005309025819361006,125,0.00819695788957197,1988,121,67
andrew,0.005259501844474094,136,0.0032985746034494843,800,122,376
viral,0.005258194408822806,118,0.004688099155152579,1137,123,213
like,0.005256595169981463,148,0.005195255000432938,1260,124,172
save,0.0052524493292401666,152,0.00404487710747993,981,125,278
minneapolis,0.005233936604024696,124,0.006370372202911817,1545,126,108
canada,0.005231713231656589,127,0.0060570076155841155,1469,127,129
minnesota,0.005227252306287527,133,0.006889897702955111,1671,128,92
congress,0.005203156001698876,134,0.006122979107653106,1485,129,125
they're,0.005151775295670787,136,0.003249095984397742,788,130,383
scandal,0.005108580389183346,139,0.0035253516074366365,855,131,347
lost,0.005088381667367191,159,0.003166631619311505,768,132,400
report,0.005076134099319854,123,0.010971883774723848,2661,133,33
years,0.00506808798375176,149,0.005805491302071092,1408,134,141
senate,0.005007637004222571,128,0.00873297626263251,2118,135,62
john,0.004985104289946543,124,0.004032507452716994,978,136,279
bombshell,0.0049590898593112245,101,0.00569004119095036,1380,137,151
makes,0.004911251777962298,130,0.006341509675131634,1538,138,109
fox,0.004906500612084281,92,0.006106486234635858,1481,139,126
gaza,0.004900297370918758,92,0.004890136849613861,1186,140,197
lies,0.004842968347959196,144,0.0032161102383632474,780,141,390
disaster,0.004827698042765459,134,0.004758193865475881,1154,142,206
mike,0.004812409965839644,114,0.003950043087630758,958,143,286
future,0.004810894417514825,128,0.0037273893018979175,904,144,315
netanyahu,0.004790873149400493,119,0.0058261073933426515,1413,145,139
james,0.004771243494891216,123,0.003282081730432237,796,146,379
breaks,0.0047599359388640575,132,0.0060982397981272345,1479,147,127
control,0.004751530922491466,144,0.005079804889312206,1232,148,178
talks,0.004731747512050494,107,0.013606620239229122,3300,149,25
government,0.004702164411663816,137,0.0052117478734501855,1264,150,170
race,0.0046720891780312876,141,0.005071558452803582,1230,151,179
change,0.004667178758114524,148,0.00371089642888067,900,152,316
hegseth,0.004607374796662997,112,0.007850607556209773,1904,153,73
act,0.004604987473762272,136,0.00457677226228616,1110,154,226
nyc,0.004603249451915198,110,0.004304639857501577,1044,155,243
questions,0.004596251014943402,112,0.005042695925023399,1223,156,180
judge,0.004580310943698913,101,0.005793121647308157,1405,157,144
nuclear,0.004524136406777311,131,0.00818046501655472,1984,158,68
make,0.004517120382908674,154,0.004506677551962858,1093,159,230
dems,0.0044958923800965216,103,0.0062136899092479665,1507,160,121
cuba,0.00449259455450544,123,0.003793360793966907,920,161,304
global,0.004490405948187859,116,0.007636200206985556,1852,162,77
republican,0.004484518134714565,115,0.004716961682932763,1144,163,209
iranian,0.004456527719711312,116,0.010308045635779639,2500,164,40
face,0.0044545465181263615,131,0.006188950599722095,1501,165,123
claims,0.00443722143737549,124,0.007673309171274363,1861,166,76
good,0.004416358807087696,145,0.005318951548062293,1290,167,165
strait,0.004347246626715549,104,0.010085391850046798,2446,168,43
takes,0.004342501322648715,144,0.005463264186963209,1325,169,163
drops,0.004340928302646735,119,0.005764259119527974,1398,170,147
update,0.004338814746139769,92,0.004197436182889469,1018,171,256
fbi,0.00432574759058452,125,0.005908571758428889,1433,172,138
data,0.004314657859585617,127,0.003995398488428188,969,173,282
doesn't,0.004301957688990214,138,0.003170754837565817,769,174,399
need,0.004300288973089981,131,0.004906629722631108,1190,175,194
panics,0.004280449854425551,67,0.004770563520238817,1157,176,204
backfires,0.004260308380141513,78,0.003306821039958108,802,177,372
