left_creator,right_creator,distance,distance_percentile_all_pairs
@destiny,@RealDanBongino,2.1087752169558547,3.5515873015873014
@zeteo,@JillianMichaels,2.109153373175506,3.5555555555555554
@chriscuomo,@ZubyMusic,2.1117092796240837,3.567460317460317
@judgingfreedom,@BenShapiro,2.1125500258540186,3.575396825396825
@franifio,@JesseKellyDC,2.1125648453032086,3.5793650793650795
@TheDonLemonShow,@RealDanBongino,2.1131774781112322,3.5873015873015874
@OwenReport,@nypost,2.1144365366962843,3.595238095238095
@judgingfreedom,@RileyGaines,2.114869493293694,3.6031746031746033
@LeejaMiller,@RealDanBongino,2.1179477336265764,3.6111111111111107
@Xanderhal,@RealDanBongino,2.119045804694855,3.619047619047619
https://rumble.com/c/GGreenwald,@MegynKelly,2.1222338179512477,3.6468253968253967
@marclamonthillnetwork,@nypost,2.1230029531560795,3.6587301587301586
@BreakThroughNews,@TomiLahrenIsFearless,2.123063435519317,3.6626984126984126
@judgingfreedom,@AndrewKlavan,2.1232625086594594,3.6666666666666665
@TheDonLemonShow,@theisabelbrown,2.1235807744897572,3.670634920634921
@chriscuomo,@ColemanHughesOfficial,2.125581054863489,3.6785714285714284
@samharrisorg,@BenShapiro,2.126961099228141,3.6984126984126986
@TheLincolnProject,@BenShapiro,2.1275124750928507,3.702380952380952
@LegalEagle,@RealDanBongino,2.1275964648309227,3.706349206349206
@TheSerfTimes,@chicksonright,2.1277263570408524,3.7103174603174605
@franifio,@bbrettcooper,2.130231764126921,3.734126984126984
@TheHumanistReport,@RubinReport,2.1325945298906532,3.753968253968254
@TheDonLemonShow,@JillianMichaels,2.1341048526812867,3.7619047619047623
@therationalnational,@JesseKellyDC,2.1361107881869557,3.7738095238095237
@OwenReport,@RealDanBongino,2.1378752289527663,3.7896825396825395
@DropSiteNews,@GrahamAllen,2.138076912595414,3.7936507936507935
@NovaraMedia,@RealDanBongino,2.1398151247177495,3.805555555555556
@TheLincolnProject,@ThePodcastoftheLotusEaters,2.1403962613215106,3.8134920634920633
@PTLRadioShow,@HangOutwithSeanHannity,2.1424042726734087,3.8214285714285716
