term,n_titles,degree,strength,betweenness,community
fires,990,13,35.27563,0.00129,2
bombshell,1677,20,34.92664,0.00283,2
nomination,238,10,34.44081,0.00005,2
released,584,11,34.33167,0.00089,2
raid,422,12,34.21072,0.00093,2
paul,472,11,33.84467,0.00241,2
jr,680,10,33.33552,0.00110,2
scott,848,10,32.11131,0.00196,2
jobs,573,10,31.76887,0.00090,2
jerome powell,118,7,30.50004,0.00001,2
jerome,119,7,30.45762,0.00001,2
rand paul,192,9,30.33428,0.00001,2
rand,199,9,30.33376,0.00001,2
marco,664,14,30.24429,0.00139,2
island,628,11,30.17425,0.00304,2
report,2531,13,30.13313,0.00129,2
kash patel,583,9,30.10996,0.00021,2
vaccine,243,7,29.99311,0.00050,2
oversight,238,9,29.93086,0.00003,2
pete,815,11,29.88691,0.00078,2
kash,631,9,29.48353,0.00021,2
food,577,8,28.94190,0.00033,2
federal reserve,166,6,28.90125,0.00000,2
reserve,216,6,28.58727,0.00000,2
office,798,10,28.40597,0.00065,2
data,1064,12,28.39852,0.00166,2
johnson,780,10,28.31300,0.00029,2
nominee,198,7,28.30721,0.00003,2
pete hegseth,702,10,28.30265,0.00068,2
marco rubio,644,12,27.72918,0.00042,2
smith,733,10,27.55112,0.00126,2
fury,549,9,26.65163,0.00043,2
explosive,779,13,24.39423,0.00257,2
fund,698,10,24.01146,0.00046,2
rfk,543,7,23.53249,0.00161,2
speaker,293,5,23.52907,0.00004,2
hillary,404,8,23.33663,0.00003,2
lawmakers,564,10,23.12207,0.00045,2
deputy,280,6,23.06539,0.00010,2
fifth,239,7,21.99048,0.00010,2
dan,370,5,21.88223,0.00000,2
dni,116,4,21.38516,0.00002,2
gen,790,5,21.00802,0.00096,2
clintons,168,6,20.99108,0.00002,2
clayton,152,4,20.43336,0.00025,2
county,268,7,20.41340,0.00018,2
husband,310,6,19.87501,0.00003,2
rate,292,5,19.81726,0.00012,2
economy,1305,8,19.74518,0.00032,2
comey,275,6,19.24247,0.00037,2
treasury,250,4,18.97333,0.00001,2
jeffrey,469,7,18.96973,0.00004,2
inside,2117,9,18.88362,0.00075,2
votes,342,6,18.60087,0.00010,2
comer,160,5,18.55311,0.00010,2
tulsi,333,5,18.54395,0.00002,2
jack smith,311,7,18.50819,0.00008,2
ufo files,175,4,18.40428,0.00001,2
hillary clinton,317,6,18.24977,0.00001,2
latest,1210,9,18.18992,0.00053,2
