phrase,word_a,word_b,gap,titles,channels,npmi,bound_pair
scott pelley,scott,pelley,0,55,23,0.6632,False
fears grow,fears,grow,0,55,16,0.5143,False
tim dillon,tim,dillon,0,55,15,0.6502,False
year eve,year,eve,0,55,19,0.5689,False
greg bovino,greg,bovino,0,55,26,0.6494,False
brandon gill,brandon,gill,0,55,25,0.7967,False
berlin pride,berlin,pride,0,54,16,0.6533,False
austin metcalf,austin,metcalf,0,54,26,0.8469,False
rescue teams,rescue,teams,0,54,14,0.5418,False
john thune,john,thune,0,54,23,0.539,False
raul castro,raul,castro,0,54,23,0.8595,False
tim cook,tim,cook,0,54,20,0.5523,False
derangement syndrome,derangement,syndrome,0,54,31,0.9098,True
guilty plea,guilty,plea,0,54,16,0.5138,False
exact moment,exact,moment,0,54,11,0.6151,False
hantavirus cruise,hantavirus,cruise,0,53,19,0.526,False
cenk uygur,cenk,uygur,0,53,32,0.8529,False
real estate,real,estate,0,53,24,0.5482,False
van hollen,van,hollen,0,53,20,0.8107,False
lauren boebert,lauren,boebert,0,53,24,0.8416,False
bodycam footage,bodycam,footage,0,52,25,0.5476,False
rudy giuliani,rudy,giuliani,0,52,20,0.9477,True
adam mockler,adam,mockler,0,52,22,0.7536,False
ballroom construction,ballroom,construction,0,52,16,0.5992,False
late night,late,night,0,52,33,0.5205,False
congressional map,congressional,map,0,52,14,0.5705,False
caitlin clark,caitlin,clark,0,52,27,0.8989,False
cape verde,cape,verde,0,51,11,0.9153,True
sex abuse,sex,abuse,0,51,17,0.5805,False
angie nixon,angie,nixon,0,51,25,0.8662,False
jamie raskin,jamie,raskin,0,51,24,0.8517,True
wes moore,wes,moore,0,51,23,0.83,False
credit card,credit,card,0,51,25,0.6456,False
shouting match,shouting,match,0,51,16,0.7469,False
voter rolls,voter,rolls,0,51,21,0.5921,False
finish the job,finish,job,1,51,22,0.587,False
cargo plane,cargo,plane,0,51,17,0.5359,False
rhode island,rhode,island,0,50,20,0.7042,False
ryan grim,ryan,grim,0,50,18,0.7421,False
viktor orb,viktor,orb,0,50,23,0.8254,False
partial shutdown,partial,shutdown,0,50,14,0.5339,False
year-old boy,year-old,boy,0,50,20,0.5738,False
