term,n_titles,degree,strength,betweenness,community
answers,144,3,12.57795,0.00492,16
question,331,3,11.72000,0.00283,16
answer,204,3,10.40902,0.01355,16
slip,95,2,8.10501,0.00082,16
let,968,2,6.79264,0.00328,16
reporter,345,2,5.85414,0.00151,16
stop,580,2,5.40271,0.00492,16
won't,521,2,5.24924,0.00410,16
save,301,2,4.91529,0.00171,16
raises,99,1,4.56150,0.00000,16
demand,243,1,4.49922,0.00000,16
simple,59,1,4.38362,0.00000,16
demands,390,1,4.25340,0.00000,16
lets,73,1,4.24141,0.00000,16
defend,160,2,4.08423,0.00556,16
believe,180,1,3.74133,0.00000,16
anymore,84,1,3.59277,0.00000,16
world,1579,12,33.37814,0.02517,17
cup,485,6,19.58726,0.00002,17
world cup,473,6,19.57613,0.00002,17
mexico,152,4,12.87381,0.00136,17
fifa,221,3,10.88093,0.00054,17
argentina,85,3,9.87496,0.00054,17
fans,131,3,9.51261,0.00054,17
spain,147,3,8.57850,0.00054,17
leaders,399,2,7.47832,0.00082,17
final,324,3,7.02211,0.00054,17
european,121,1,4.14452,0.00000,17
iii,59,1,3.75310,0.00000,17
cartel,45,1,3.59817,0.00000,17
stage,232,1,3.18032,0.00000,17
entire,241,1,2.90274,0.00000,17
shocks,254,1,2.32660,0.00000,17
cnn,374,5,14.97573,0.00983,18
