row_id,video_id,creator,genre,topic_id,topic_sim,weak_assignment,political
308,78nxrjYTQYk,@AsmonTV,videos,1,0.4565571,False,True
309,QJtKotVsaN8,@AsmonTV,videos,70,0.83121234,False,True
310,dHnQVh34EQU,@AsmonTV,videos,1,0.48827013,False,True
311,hOZd3wF0i7I,@AsmonTV,videos,125,0.42335618,True,False
312,htk4B9rIMaA,@AsmonTV,videos,1,0.31033963,True,True
313,gXztGeZ87Qs,@AsmonTV,videos,126,0.31779596,True,True
314,lvIxkHssqVc,@AsmonTV,videos,1,0.44002777,True,True
315,YTk5hh_TOOU,@AsmonTV,videos,150,0.3672759,True,True
316,0VqlRaK9f7M,@AsmonTV,videos,1,0.4208813,True,True
317,Q3GGHxUywno,@AsmonTV,videos,95,0.62653273,False,False
318,YJl-Qi_w1OU,@AsmonTV,videos,231,0.28036818,True,False
319,2VcfdUznyyI,@AsmonTV,videos,1,0.15435891,True,True
320,3wH1idyENuw,@AsmonTV,videos,13,0.3848358,True,True
321,GH3egckNLLU,@AsmonTV,videos,223,0.49769068,False,False
322,qKiK8nrGmxc,@AsmonTV,videos,1,0.45393088,False,True
323,RqtIhfgNzzc,@AsmonTV,videos,5,0.41292614,True,True
324,csBnAX6yS-U,@AsmonTV,videos,1,0.41610098,True,True
325,zlTcG4I1iyI,@AsmonTV,videos,90,0.3865002,True,True
326,BOu1s7MrWp0,@AsmonTV,videos,11,0.37037212,True,True
327,ppc-ZtgCvcg,@AsmonTV,videos,156,0.38787392,True,True
328,AO_RpAwF5Pk,@AsmonTV,videos,54,0.19894642,True,False
329,E2681hHB5NQ,@AsmonTV,videos,1,0.44093665,True,True
330,anJ9eBx4ir0,@AsmonTV,videos,1,0.3949019,True,True
331,VL3ow_cfEMw,@AsmonTV,videos,1,0.36773396,True,True
332,tMjoa3ItaQo,@AsmonTV,videos,131,0.72134745,False,True
333,3q5KP2BfYc8,@AsmonTV,videos,41,0.35151583,True,True
334,ECfCFXXNFPk,@AsmonTV,videos,1,0.40716138,True,True
335,51RMnn_u2Q4,@AsmonTV,videos,1,0.52334356,False,True
336,H-yk5pXtgaw,@AsmonTV,videos,1,0.40850613,True,True
337,vD-ljM43iYA,@AsmonTV,videos,1,0.5208534,False,True
338,p3Jxd7aEQYM,@AsmonTV,videos,1,0.5348648,False,True
339,GB9p-4SXPFo,@AsmonTV,videos,1,0.489761,False,True
340,CCbl2z8MWJE,@AsmonTV,videos,1,0.48634702,False,True
341,31Jd0kyM94o,@AsmonTV,videos,59,0.54922664,False,True
342,eklHZo3Yaz0,@AsmonTV,videos,1,0.35795495,True,True
343,8TYl1_obEto,@AsmonTV,videos,1,0.5714276,False,True
344,GwhQHBIqpow,@AsmonTV,videos,191,0.32481298,True,True
345,QZZWcmbBUK8,@AsmonTV,videos,1,0.45232403,False,True
346,yCfDPa9KEcU,@AsmonTV,videos,1,0.46236068,False,True
347,hJgEkhoaCnU,@AsmonTV,videos,1,0.1903757,True,True
348,sq3fvBnQYuU,@AsmonTV,videos,1,0.44363138,True,True
349,hGJ4epxBJxw,@AsmonTV,videos,48,0.6697768,False,True
350,usHlB9CRTgw,@AsmonTV,videos,37,0.5502699,False,True
351,SdMhelBIfV4,@AsmonTV,videos,59,0.49078545,False,True
352,86pBycIKoAo,@AsmonTV,videos,1,0.4328364,True,True
353,FGy7z5kG8-E,@AsmonTV,videos,18,0.37775835,True,False
354,Hmo-vGOblOM,@AsmonTV,videos,74,0.4919808,False,True
355,mL_XJKFDyzE,@AsmonTV,videos,48,0.6664517,False,True
356,q8On3aBSahs,@AsmonTV,videos,1,0.3916453,True,True
357,MNVwshu8XgQ,@AsmonTV,videos,48,0.61635494,False,True
358,Dhd_VW_Qka4,@AsmonTV,videos,92,0.73134303,False,True
359,CV6lwV3j_Y8,@AsmonTV,videos,1,0.38668922,True,True
360,M5L-D-SPMFM,@AsmonTV,videos,1,0.43937278,True,True
361,zjmiH3Z6DKk,@AsmonTV,videos,1,0.46438766,False,True
362,1riLqtbUKMk,@AsmonTV,videos,125,0.5097166,False,False
363,WMNVFpEr40I,@AsmonTV,videos,171,0.39630294,True,True
364,UcSqBuGQ-cA,@AsmonTV,videos,60,0.5091109,False,True
365,h6ZP3t84vsE,@AsmonTV,videos,1,0.15773745,True,True
366,ajb15lCANno,@AsmonTV,videos,206,0.57244927,False,True
367,ZYQx3aYjFLQ,@AsmonTV,videos,1,0.4619996,False,True
368,hI55kcpj1PA,@AsmonTV,videos,90,0.3693477,True,True
369,ogUrwFvUtDs,@AsmonTV,videos,1,0.360908,True,True
370,afziR4APS6I,@AsmonTV,videos,1,0.5956531,False,True
371,_a4eUOgnnoo,@AsmonTV,videos,1,0.50203836,False,True
372,A1XUtk2KN-I,@AsmonTV,videos,1,0.45143548,False,True
373,KC-2dTe_ZxY,@AsmonTV,videos,1,0.40898404,True,True
374,Ut2zSNQ89L0,@AsmonTV,videos,1,0.36184016,True,True
375,VFYsZ-cQLWg,@AsmonTV,videos,1,0.50939846,False,True
