creator,channel_name,platform,lane,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note,status
@GrahamAllen,Graham Allen,youtube,right_commentary,Graham Allen,False,192000.0,247,0,False,True,,proposed
@HangOutwithSeanHannity,Hang Out with Sean Hannity,youtube,interview_podcast,Sean Hannity,False,178000.0,154,0,False,True,right,proposed
@HasanAbi,HasanAbi,youtube,streamer_reaction,HasanAbi,False,1950000.0,628,7,False,True,,proposed
@HasanAbiVODs3,HasanAbi VODs,youtube,streamer_reaction,HasanAbi,True,10900.0,181,0,False,True,official VOD channel; date-stamped titles written by the VOD team,proposed
@HasanReactionsfanTwo,Hasan Reactions,youtube,streamer_reaction,HasanAbi,True,254000.0,340,0,False,True,fan channel,proposed
@HasanabiClips,Hasanabi Clips,youtube,streamer_reaction,HasanAbi,True,112000.0,474,32,False,True,fan channel,proposed
@JackCocchiarellaShow,Jack Cocchiarella,youtube,left_commentary,Jack Cocchiarella,False,1610000.0,1524,21,False,True,,proposed
@JacksonHinkleOfficial,Jackson Hinkle Official,youtube,right_commentary,Jackson Hinkle,False,171000.0,388,81,False,False,'MAGA communist'; streams + uploads,proposed
@JamarlThomas,Jamarl Thomas,youtube,left_commentary,Jamarl Thomas,False,77900.0,274,223,False,False,,proposed
@JesseKellyDC,Jesse Kelly,youtube,right_commentary,Jesse Kelly,False,122000.0,504,1,False,True,,proposed
@JillianMichaels,Jillian Michaels,youtube,interview_podcast,Jillian Michaels,False,764000.0,457,0,False,True,right-leaning,proposed
@JustPearlyThings,Pearl,youtube,right_commentary,Pearl,False,2060000.0,669,96,False,False,manosphere / gender,proposed
@KimIversen,Kim Iversen,youtube,centrist_heterodox,Kim Iversen,False,806000.0,534,1,False,True,populist-heterodox,proposed
@LIVESNEAKO,LIVE SNEAKO,youtube,streamer_reaction,SNEAKO,False,1010000.0,479,69,False,False,,proposed
@LastWeekTonight,LastWeekTonight,youtube,humour_satire,HBO,False,10200000.0,35,0,True,True,,proposed
@LeejaMiller,Leeja Miller,youtube,legal_institutional,Leeja Miller,False,708000.0,60,1,False,True,"lawyer explainer, left",proposed
@LegalAFMTN,Legal AF,youtube,legal_institutional,MeidasTouch Network,False,1230000.0,2735,45,False,True,,proposed
@LegalEagle,LegalEagle,youtube,legal_institutional,LegalEagle,False,3950000.0,105,0,False,True,,proposed
@LeverNews,The Lever,youtube,independent_digital_news,The Lever,False,74700.0,73,9,False,True,,proposed
@LiberalHivemind,Liberal Hivemind,youtube,right_commentary,Liberal Hivemind,False,1750000.0,846,0,False,True,,proposed
@LukeBeasley,Luke Beasley,youtube,left_commentary,Luke Beasley,False,1580000.0,1162,246,False,False,,proposed
@Lunaoi,Luna oi!,youtube,left_commentary,Luna Oi,False,140000.0,9,0,True,True,,proposed
@MLChristiansen,Matt Christiansen,youtube,right_commentary,Matt Christiansen,False,251000.0,118,77,False,False,,proposed
@MarkDice,Mark Dice,youtube,right_commentary,Mark Dice,False,1900000.0,92,0,False,True,,proposed
@MattBernstein1,matt bernstein,youtube,left_commentary,Matt Bernstein,False,451000.0,21,0,True,True,culture,proposed
@MattWalsh,Matt Walsh,youtube,right_commentary,Daily Wire,False,3460000.0,297,2,False,True,,proposed
@MegynKelly,Megyn Kelly,youtube,right_commentary,Megyn Kelly,False,4150000.0,1651,13,False,True,interview-heavy show; titles are news commentary,proposed
@MeidasTouch,MeidasTouch,youtube,left_commentary,MeidasTouch Network,False,6470000.0,3532,627,False,False,self-described news network; titles are commentary,proposed
@MichaelKnowles,Michael Knowles,youtube,right_commentary,Daily Wire,False,2610000.0,472,4,False,True,,proposed
@MichaelMaliceofficial,Michael Malice,youtube,interview_podcast,Michael Malice,False,241000.0,55,3,False,True,anarchist,proposed
@MikeFromPA,Mike From PA,youtube,streamer_reaction,Mike from PA,False,31900.0,129,0,False,True,left; Twitch,proposed
@ModernDayDebate,Modern-Day Debate,youtube,streamer_reaction,Modern-Day Debate,False,282000.0,46,109,True,False,debate platform,proposed
@MrReaganUSA,Mr Reagan,youtube,right_commentary,Mr Reagan,False,440000.0,26,2,True,True,satire series MAGA-MAN,proposed
@MrTariqNasheed,Tariq Radio,youtube,left_commentary,Tariq Nasheed,False,281000.0,403,19,False,True,FBA; not classic left,proposed
@MyronGainesX,MyronGainesX,youtube,right_commentary,Myron Gaines,False,569000.0,389,245,False,False,streams,proposed
@NBCNews,NBC News,youtube,us_legacy_tv,NBC News,False,12100000.0,6499,367,False,False,,proposed
@NPR,NPR,youtube,us_press_print_digital,NPR,False,874000.0,70,1,False,True,,proposed
