creator,platform,genre,n_rows,n_unique,n_balanced,n_with_views,first_month,last_month,n_norm_fallback,repeat_share,low_n,channel_name,channel_follower_count,channel_is_verified
@LukeBeasley,youtube,streams,247,246,246,155,2026-02,2026-09,0,0.004,False,Luke Beasley,1580000.0,True
@LukeBeasley,youtube,videos,1115,1109,1109,1028,2026-01,2026-09,0,0.0054,False,Luke Beasley,1580000.0,True
@Lunaoi,youtube,videos,8,8,8,8,2026-01,2026-09,0,0.0,True,Luna oi!,140000.0,
@MLChristiansen,youtube,streams,73,73,73,73,2026-01,2026-09,0,0.0,False,Matt Christiansen,251000.0,
@MLChristiansen,youtube,videos,116,116,116,116,2026-01,2026-09,0,0.0,False,Matt Christiansen,251000.0,
@MarkDice,youtube,videos,89,89,89,89,2026-01,2026-09,0,0.0,False,Mark Dice,1900000.0,True
@MattBernstein1,youtube,videos,20,20,20,20,2026-01,2026-09,0,0.0,True,matt bernstein,451000.0,
@MattWalsh,youtube,streams,2,2,2,2,2026-01,2026-02,0,0.0,True,Matt Walsh,3460000.0,True
@MattWalsh,youtube,videos,277,277,277,244,2026-01,2026-09,0,0.0,False,Matt Walsh,3460000.0,True
@MegynKelly,youtube,streams,13,13,13,11,2026-02,2026-09,0,0.0,True,Megyn Kelly,4150000.0,True
@MegynKelly,youtube,videos,1591,1591,1591,1587,2026-01,2026-09,0,0.0,False,Megyn Kelly,4150000.0,True
@MeidasTouch,youtube,streams,590,586,586,590,2026-01,2026-09,0,0.0068,False,MeidasTouch,6470000.0,True
