term,n_titles,degree,strength,betweenness,community
takes,730,6,25.85484,0.00137,3
amazon,154,6,25.19000,0.00065,3
alleged,491,8,24.94979,0.00259,3
immigration,418,8,24.72798,0.00009,3
homan,120,6,24.67209,0.00006,3
diego,132,6,24.61599,0.00055,3
shoots,123,6,24.04372,0.00000,3
collision,110,6,23.97821,0.00005,3
border czar,71,5,23.70004,0.00001,3
czar,74,5,23.63918,0.00001,3
people,871,10,22.97744,0.00137,3
clash,484,8,22.69324,0.00225,3
train,221,5,22.60592,0.00014,3
alex,275,8,22.04376,0.00034,3
dui,60,4,21.59509,0.00000,3
san,179,6,21.24996,0.00005,3
gather,294,6,21.00982,0.00091,3
church,110,5,20.86295,0.00020,3
fatal,215,7,20.70447,0.00002,3
student,345,6,20.45894,0.00318,3
gov,193,5,20.30963,0.00025,3
islamic,96,5,20.03563,0.00000,3
san diego,111,5,18.85288,0.00001,3
miami,140,4,18.48493,0.00000,3
berlin,181,5,18.48424,0.00046,3
dozens,154,4,17.30666,0.00002,3
rally,751,6,17.28573,0.00122,3
pride,111,4,17.16450,0.00016,3
plane crash,163,4,16.66853,0.00009,3
crashes,191,4,15.90337,0.00009,3
mosque,123,4,15.83158,0.00000,3
airports,117,5,15.82180,0.00015,3
bovino,49,4,15.56344,0.00005,3
walz,141,4,14.81052,0.00031,3
officers,189,5,14.74882,0.00014,3
alex pretti,169,6,14.67215,0.00004,3
tiger woods,78,3,14.27922,0.00005,3
pretti,189,6,14.24548,0.00004,3
woods,85,3,14.24006,0.00005,3
tiger,111,3,14.03458,0.00005,3
say,718,6,13.97386,0.00004,3
march,368,5,13.79091,0.00124,3
year-old,270,3,13.54648,0.00302,3
drug,257,3,13.39575,0.00078,3
leaves,341,4,13.25978,0.00000,3
don lemon,80,3,12.81974,0.00002,3
don,91,3,12.71863,0.00002,3
lemon,82,3,12.63323,0.00002,3
charged,196,4,12.61863,0.00007,3
crime,179,2,11.97808,0.00248,3
good,390,6,11.23521,0.00204,3
tim walz,68,3,11.21796,0.00013,3
forces,497,4,11.12284,0.00113,3
scene,154,3,11.03800,0.00495,3
crackdown,311,4,10.74976,0.00068,3
stage,186,3,10.68789,0.00028,3
prince andrew,98,3,10.03886,0.00016,3
thailand,164,2,9.88329,0.00001,3
soldiers,219,2,9.81766,0.00029,3
